date,team,rating
2026-02-23,Purdue Fort Wayne,-5.189383335857291
2026-02-23,Longwood,-5.196333550702943
2026-02-23,Delaware,-5.236700263679257
2026-02-23,Idaho St.,-5.246731989939855
2026-02-23,Western Carolina,-5.277071679515578
2026-02-23,Southern Miss,-5.323025762909541
2026-02-23,Cal St. Fullerton,-5.352822383520606
2026-02-23,East Carolina,-5.489594696328245
2026-02-23,SIU Edwardsville,-5.531833413213733
2026-02-23,Portland,-5.619260437153502
2026-02-23,Milwaukee,-5.670578194102779
2026-02-23,Boston University,-5.676384384681101
2026-02-23,Eastern Michigan,-5.680673720612426
2026-02-23,Georgia Southern,-5.874956005100789
2026-02-23,San Diego,-5.98184665429019
2026-02-23,North Carolina A&T,-6.06816766309115
2026-02-23,Charleston Southern,-6.0922273983750035
2026-02-23,Nicholls St.,-6.161184099721295
2026-02-23,Hampton,-6.364381954224507
2026-02-23,Central Michigan,-6.55193856859486
2026-02-23,Loyola Chicago,-6.620707074148743
2026-02-23,Mount St. Mary's,-6.741964068507677
2026-02-23,Northwestern St.,-6.758978293279779
2026-02-23,UC Riverside,-6.851629079835599
2026-02-23,Sacred Heart,-6.953171551163037
2026-02-23,Detroit Mercy,-7.005968338625694
2026-02-23,Northeastern,-7.093168243927633
2026-02-23,Long Beach St.,-7.103225093290243
2026-02-23,North Dakota,-7.188266627730007
2026-02-23,Presbyterian,-7.192079669638318
2026-02-23,Eastern Kentucky,-7.206137860727118
2026-02-23,Incarnate Word,-7.22924879542688
2026-02-23,Pepperdine,-7.4305281190392085
2026-02-23,South Dakota,-7.44817469831986
2026-02-23,Bellarmine,-7.544068679033274
2026-02-23,Central Connecticut,-7.5520299750401705
2026-02-23,Mercyhurst,-7.684627340964371
2026-02-23,UNC Greensboro,-7.969651149789086
2026-02-23,Morehead St.,-8.006085657377374
2026-02-23,Evansville,-8.009174096791481
2026-02-23,Southeastern Louisiana,-8.01275450498857
2026-02-23,UMass Lowell,-8.241804322200604
2026-02-23,Lindenwood,-8.292171928759759
2026-02-23,Southern,-8.353330934651794
2026-02-23,Bethune Cookman,-8.361949859707224
2026-02-23,Louisiana,-8.367267085062474
2026-02-23,Norfolk St.,-8.421139964208756
2026-02-23,Georgia St.,-8.551132131047765
2026-02-23,Lehigh,-8.647368026806117
2026-02-23,Albany,-8.772196388875862
2026-02-23,USC Upstate,-8.778550499790226
2026-02-23,Southern Utah,-8.820703398808982
2026-02-23,Sacramento St.,-8.859581349059992
2026-02-23,Houston Christian,-8.905180156891493
2026-02-23,Western Michigan,-8.908983044385522
2026-02-23,Northern Arizona,-9.030172562492314
2026-02-23,Cleveland St.,-9.034721878418951
2026-02-23,Tennessee Tech,-9.114401815386017
2026-02-23,Le Moyne,-9.172220763638881
2026-02-23,Little Rock,-9.284546910671905
2026-02-23,Ball St.,-9.746355337019903
2026-02-23,Grambling St.,-9.86690624902545
2026-02-23,Jacksonville,-9.915925234264629
2026-02-23,Loyola MD,-9.996876823957686
2026-02-23,Wagner,-10.225397647674193
2026-02-23,IU Indy,-10.476817675250798
2026-02-23,New Haven,-10.556452280454288
2026-02-23,West Georgia,-10.838355619973864
2026-02-23,East Texas A&M,-10.914413801463848
2026-02-23,Manhattan,-11.087608576392514
2026-02-23,North Alabama,-11.139077871587068
2026-02-23,Holy Cross,-11.224226923278254
2026-02-23,UTSA,-11.235222685136103
2026-02-23,Alabama St.,-11.279948266027478
2026-02-23,Texas Southern,-11.33528790808123
2026-02-23,Lafayette,-11.484040247181934
2026-02-23,NJIT,-11.52889529551865
2026-02-23,Fairleigh Dickinson,-11.820250511736267
2026-02-23,Eastern Illinois,-11.83794507515643
2026-02-23,Oral Roberts,-11.919308147401164
2026-02-23,Northern Illinois,-11.94408978887256
2026-02-23,Cal St. Bakersfield,-12.253972166310385
2026-02-23,Niagara,-12.309234766576683
2026-02-23,North Florida,-12.517430232654062
2026-02-23,Alabama A&M,-12.566302097014965
2026-02-23,Stonehill,-12.624255743656555
2026-02-23,Army,-12.813790702522617
2026-02-23,Southern Indiana,-12.912167786876152
2026-02-23,Maine,-13.1248233950106
2026-02-23,Stetson,-13.372955091421826
2026-02-23,Bucknell,-13.377573301215854
2026-02-23,New Hampshire,-13.60374020762468
2026-02-23,Bryant,-13.60944467057532
2026-02-23,Prairie View A&M,-13.623287867249452
2026-02-23,Chicago St.,-13.69489882625533
2026-02-23,Florida A&M,-14.030183826686828
2026-02-23,Canisius,-14.405536977696368
2026-02-23,Maryland Eastern Shore,-14.475048110349878
2026-02-23,Louisiana Monroe,-14.634263625462292
2026-02-23,The Citadel,-14.761971806577604
2026-02-23,Rider,-14.770700137353137
2026-02-23,Morgan St.,-15.622757828580204
2026-02-23,North Carolina Central,-15.633323094724203
2026-02-23,Saint Francis,-15.680933567042304
2026-02-23,UMKC,-15.819952406384076
2026-02-23,Arkansas Pine Bluff,-15.837340798819184
2026-02-23,Air Force,-15.92912950433746
2026-02-23,Binghamton,-16.046940971852457
2026-02-23,Jackson St.,-16.146108029117883
2026-02-23,Alcorn St.,-16.251138973764487
2026-02-23,South Carolina St.,-16.537251593696208
2026-02-23,VMI,-16.895907526717192
2026-02-23,Delaware St.,-17.361433979625428
2026-02-23,Gardner Webb,-18.853176598691192
2026-02-23,Western Illinois,-19.584608113089065
2026-02-23,Coppin St.,-20.81690941229943
2026-02-23,Centenary,-21.089425228701952
2026-02-23,Mississippi Valley St.,-27.387347972261704
